collection_id,collection_name,_id,title,origin_title,english_title,slug,overview,runtime,release_date,year,publish,thumbnail_path,banner_path,type,status
JyA2ZRnlkXEH,Phim Hàn Quốc,TAtZQ6WfXrtu,Ngôi nhà của Nữ Hoàng,여왕의 집,Queen's House,queens-house,"A melodrama centered on revenge and romance, following the story of a woman entangled in a complex web of relationships and secrets.",60,2025-04-28,2025,TRUE,empty,https://i.mydramalist.com/b31mQe_4f.jpg,tvshow,updating
JyA2ZRnlkXEH,Phim Hàn Quốc,cFN3qvpuZ70K,Giữ Chặt Vận May,대운을 잡아라,Protect Your Luck,protect-your-luck,"Han Mu Cheol, also known as 'K-Scrooge', owns Daewoon Building and is obsessed with money. He is wealthy but miserly, trembling at 100 won and spewing venom at people.",0,2025-04-14,2025,TRUE,empty,https://i.mydramalist.com/Lwjpdb_4f.jpg,tvshow,updating
JyA2ZRnlkXEH,Phim Hàn Quốc,I-oawyiQlEn2,Khoẻ Trước Yêu Sau,24시 헬스클럽,Pump Up the Healthy Love,pump-up-the-healthy-love,"Do Hyeon-joong, a health-obsessed gym manager, helps his members transform their lives while balancing the struggles of self-employment, and forms a passionate connection with Lee Mi-ran, a travel agency manager who loves food.",70,2025-04-30,2025,TRUE,empty,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/rzGKRiBSPVd5RsEhMB0GGWYd654.jpg,tvshow,updating
JyA2ZRnlkXEH,Phim Hàn Quốc,7fWhVJ99arfz,Bảo Hiểm Ly Hôn,이혼보험,The Divorce Insurance,the-divorce-insurance,"A workplace romantic comedy about an actuary who, after multiple divorces, creates a new kind of insurance—divorce insurance—while navigating personal and professional challenges.",60,2025-03-31,2025,TRUE,empty,https://i.mydramalist.com/mOZ0mQ_4f.jpg,tvshow,updating
JyA2ZRnlkXEH,Phim Hàn Quốc,XVfvpgGJUsVZ,Người Hùng Yếu Đuối,약한영웅,Weak Hero Class 2,weak-hero-class,"With the aid of unexpected friends, a gifted but introverted student confronts bullies and violent foes — unaware of how dangerous his world will become.",43,2025-04-25,2025,TRUE,empty,https://i.mydramalist.com/73bB8D_4f.jpg,tvshow,updating
JyA2ZRnlkXEH,Phim Hàn Quốc,85ZbOk4QCnks,Chuyện Đời Bác Sĩ Nội Trú,언젠가는 슬기로울 전공의생활,Resident Playbook,resident-playbook,"A medical drama focusing on the lives of OB-GYN residents at a major hospital, exploring their professional challenges and personal growth.",90,2025-04-12,2025,TRUE,empty,https://i.mydramalist.com/ABAQWv_4f.jpg,tvshow,updating
JyA2ZRnlkXEH,Phim Hàn Quốc,ex6LTxPVjWT3,Đẹp Hơn Thiên Đường,천국보다 아름다운,Heavenly Ever After,heavenly-ever-after,"A romantic fantasy about an elderly woman who reunites with her husband in Heaven, exploring themes of love transcending time and appearances.",60,2025-04-19,2025,TRUE,empty,https://i.mydramalist.com/nOZrd4_4f.jpg,tvshow,updating
JyA2ZRnlkXEH,Phim Hàn Quốc,MZOjuNWVuBNC,Đất Nước của Phản Diện,빌런의 나라,Villains Everywhere,villains-everywhere,"A sitcom and family drama depicting the daily lives of two middle-aged sisters and their families, highlighting their unique challenges and relationships.",60,2025-03-19,2025,TRUE,empty,https://i.mydramalist.com/zBApZJ_4f.jpg,tvshow,updating
JyA2ZRnlkXEH,Phim Hàn Quốc,pgxu0na6SdB7,Bậc thầy Đàm Phán,협상의 기술,The Art of Negotiation,the-art-of-negotiation,A story following an M&A expert who is known as a legendary negotiator and his team including Lawyer O Sun Yeong and Choi Jin Sun. The M&A expert specializes in large corporation deals.,60,2025-03-08,2025,TRUE,empty,https://i.mydramalist.com/oQNqgE_4f.jpg,tvshow,updating
ogwpLwKE5Puq,Phim Trung Quốc mới,_2I_BrosMPkz,Mùa Hoa Rơi Gặp Lại Chàng,落花时节又逢君,Love Never Fails,love-never-fails,"High deity Jin Xiu sets out to help the camellia spirit Hong Ning achieve immortality, but their journey forges a bond that spans a thousand years—until, in a twist of fate, Hong Ning leads Jin Xiu to embrace life as a mortal.",45,2025-05-01,2025,TRUE,empty,https://i.mydramalist.com/JB2jym_4f.jpg,tvshow,updating
ogwpLwKE5Puq,Phim Trung Quốc mới,qnaGV_E0POoN,Hoài Thuỷ Trúc Đình,淮水竹亭,Love in Pavilion,love-in-pavilion,"It tells the story of Dongfang Huaizhu and Wangquan Hongye, the leaders of two major families, the Dongfangs and the Wangquans. In a time when humans and demons are in conflict, they work together to stabilize the situation in order to revive the Unity Alliance. On the seventh day of the seventh month, at the Bamboo Pavilion by the Huai River, their fates intertwine like the sheaths of two swords, never to be separated. They pick up the most heartwarming promise and tell a story that has endured for generations.",45,2025-04-28,2025,TRUE,empty,https://i.mydramalist.com/73Eqje_4f.jpg,tvshow,updating
ogwpLwKE5Puq,Phim Trung Quốc mới,wLx5r-0y7it-,Bảng Thượng Giai Tế,榜上佳婿,Serendipity,serendipity,"Jian Mingshu, the daughter of the Jian family, loses her memory after a fall and is saved by her beloved, Lu Shang. They travel to the capital for their studies, where Jian Mingshu uncovers clues about her identity. With Lu Shang's silent support, their bond deepens as they face challenges together, leading to a lasting relationship.",45,2025-05-01,2025,TRUE,empty,https://i.mydramalist.com/zB235e_4f.jpg,tvshow,updating
olC9ihVTksCC,Phim US-UK mới,0OhuMWmJvc1Z,Mặt Cười,Happy Face,Happy Face,happy-face,"The story of Melissa Jesperson-Moore, who at age 15 discovered that her father, Keith Hunter Jesperson, was the serial murderer known as the Happy Face Killer.",57,2025-03-21,2025,TRUE,empty,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/sGHZrYxOU2U2JLrmYO12qGl1VK4.jpg ,tvshow,updating
olC9ihVTksCC,Phim US-UK mới,d7GyasjUlzhd,Chuyển Số,Shifting Gears,Shifting Gears,shifting-gears,"Headstrong widower Matt owns a classic car workshop. When his separated daughter and her teenage children arrive at his house, the real restoration begins.",57,2025-01-08,2025,TRUE,empty,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/qQeNdPJ6QDvKCBtGHbTT4DvtuZR.jpg,tvshow,updating
olC9ihVTksCC,Phim US-UK mới,tp71gnooUug5,Giáo Viên Anh Ngữ,English Teacher,English Teacher,english-teacher,"It follows Evan, a gay high school English teacher, and his coworkers as they try to balance the demands of the students and their parents.",57,2024-09-03,2024,TRUE,empty,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/EJBPsu3k8gYLVTcRr4QnpKQCTj.jpg,tvshow,updating
olC9ihVTksCC,Phim US-UK mới,69R22SbAsIcD,Sẽ Ra Sao Nếu...?,What If...?,What If...?,what-if...?,"Exploring pivotal moments from the Marvel Cinematic Universe and turning them on their head, leading the audience into uncharted territory.",32,2021-08-11,2021,TRUE,empty,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/lztz5XBMG1x6Y5ubz7CxfPFsAcW.jpg,tvshow,updating
olC9ihVTksCC,Phim US-UK mới,ClGHNU48qqz_,Phía Sau Mặt Tiền,No Good Deed,No Good Deed,no-good-deed,A story of three very different families trying to buy the very same 1920s Spanish style villa that they think will solve all their problems.,30,2024-12-12,2024,TRUE,empty,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/4DHRgkvn8nY5yWBcFIu0urJr6bU.jpg,tvshow,updating
olC9ihVTksCC,Phim US-UK mới,DBkkeRlay0Vr,Bệnh Viện Pitt,The Pitt,The Pitt,the-pitt,"The daily lives of healthcare professionals in a Pittsburgh hospital as they juggle personal crises, workplace politics, and the emotional toll of treating critically ill patients, revealing the resilience required in their noble calling.",50,2025-01-10,2025,TRUE,empty,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/6fMGktEDXMZZPACJ5cWkVQ6TSte.jpg,tvshow,updating
olC9ihVTksCC,Phim US-UK mới,m-AkKm2qe9Ms,Bác Sĩ Du Hành Ký,Doctor Odyssey,Doctor Odyssey,doctor-odyssey,"Max is the new on-board doctor for a luxury cruise ship where the small but mighty medical team navigate unique medical crises and each other, miles from shore.",50,2024-09-28,2024,TRUE,empty,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/78KamrNZE0ZzPLBjEug16BASJ5M.jpg,tvshow,updating
KZqYOAEUXKTw,Phim Điện Ảnh MỚi Coóng,TYS7y00BNcZa,Hoa Hồng Versailles,The Rose of Versailles,The Rose of Versailles,the-rose-of-versailles,"The story of Lady Oscar, a female military commander who served during the time of the French Revolution.",113,2025-04-30,2025,TRUE,empty,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/vsidzuUbJPvYevMT48wfpvgqzHd.jpg,movie,updating
